,Bundesland,Landkreis,date,infected,log(infected+1)
3290,Saarland,Merzig-Wadern,18-03,1.0,0.6931471805599453
3291,Nordrhein-Westfalen,Mettmann,18-03,72.0,4.290459441148391
3292,Bayern,Miesbach,18-03,47.0,3.871201010907891
3293,Bayern,Miltenberg,18-03,19.0,2.995732273553991
3294,Nordrhein-Westfalen,Minden-Lübbecke,18-03,111.0,4.718498871295094
3295,Nordrhein-Westfalen,Mönchengladbach Städte,18-03,35.0,3.58351893845611
3296,Bayern,Mühldorf,18-03,16.0,2.833213344056216
3297,Nordrhein-Westfalen,Mülheim Städte,18-03,17.0,2.8903717578961645
3298,Bayern,München,18-03,135.0,4.912654885736052
3299,Bayern,Munich Städte,18-03,584.0,6.371611847231857
3300,Nordrhein-Westfalen,Münster Städte,18-03,124.0,4.8283137373023015
3301,Baden-Württemberg,Neckar-Odenwald-Kreis,18-03,24.0,3.2188758248682006
3302,Bayern,Neu-Ulm,18-03,20.0,3.044522437723423
3303,Bayern,Neuburg-Schrobenhausen,18-03,7.0,2.0794415416798357
3304,Bayern,Neumarkt,18-03,18.0,2.9444389791664403
3305,Schleswig-Holstein,Neumünster Städte,18-03,1.0,0.6931471805599453
3306,Saarland,Neunkirchen,18-03,22.0,3.1354942159291497
3307,Bayern,Neustadt,18-03,3.0,1.3862943611198906
3308,Rheinland-Pfalz,Neustadt Städte,18-03,7.0,2.0794415416798357
3309,Bayern,Neustadt-Bad Windsheim,18-03,5.0,1.791759469228055
3310,Rheinland-Pfalz,Neuwied,18-03,47.0,3.871201010907891
3311,Niedersachsen,Lüneburg,18-03,27.0,3.332204510175204
3312,Schleswig-Holstein,Nordfriesland,18-03,11.0,2.4849066497880004
3313,Thüringen,Nordhausen,18-03,2.0,1.0986122886681098
3314,Niedersachsen,Nienburg,18-03,8.0,2.1972245773362196
3315,Bayern,Nuremberg Städte,18-03,61.0,4.127134385045092
3316,Bayern,Nürnberger Land,18-03,7.0,2.0794415416798357
3317,Bayern,Oberallgäu,18-03,47.0,3.871201010907891
3318,Nordrhein-Westfalen,Oberbergischer Kreis,18-03,50.0,3.9318256327243257
3319,Nordrhein-Westfalen,Oberhausen Städte,18-03,11.0,2.4849066497880004
3320,Brandenburg,Oberhavel,18-03,14.0,2.70805020110221
3321,Brandenburg,Oberspreewald-Lausitz,18-03,5.0,1.791759469228055
3322,Hessen,Odenwaldkreis,18-03,8.0,2.1972245773362196
3323,Brandenburg,Oder-Spree,18-03,23.0,3.1780538303479458
3324,Hessen,Offenbach,18-03,32.0,3.4965075614664802
3325,Hessen,Offenbach am Main Städte,18-03,4.0,1.6094379124341003
3326,Niedersachsen,Northeim,18-03,6.0,1.9459101490553132
3327,Nordrhein-Westfalen,Olpe,18-03,9.0,2.302585092994046
3328,Baden-Württemberg,Ortenaukreis,18-03,57.0,4.060443010546419
3329,Niedersachsen,Oldenburg Städte,18-03,17.0,2.8903717578961645
3330,Niedersachsen,Osnabrück,18-03,58.0,4.07753744390572
3331,Baden-Württemberg,Ostalbkreis,18-03,84.0,4.442651256490317
3332,Bayern,Ostallgäu,18-03,5.0,1.791759469228055
3333,Niedersachsen,Osnabrück Städte,18-03,58.0,4.07753744390572
3334,Niedersachsen,Osterholz,18-03,19.0,2.995732273553991
3335,Schleswig-Holstein,Ostholstein,18-03,11.0,2.4849066497880004
3336,Brandenburg,Ostprignitz-Ruppin,18-03,6.0,1.9459101490553132
3337,Nordrhein-Westfalen,Paderborn,18-03,36.0,3.6109179126442243
3338,Bayern,Passau,18-03,23.0,3.1780538303479458
3339,Bayern,Passau Städte,18-03,5.0,1.791759469228055
3340,Niedersachsen,Peine,18-03,9.0,2.302585092994046
3341,Bayern,Pfaffenhofen,18-03,18.0,2.9444389791664403
3342,Baden-Württemberg,Pforzheim Städte,18-03,10.0,2.3978952727983707
3343,Schleswig-Holstein,Pinneberg,18-03,47.0,3.871201010907891
3344,Schleswig-Holstein,Plön,18-03,11.0,2.4849066497880004
3345,Brandenburg,Potsdam Städte,18-03,10.0,2.3978952727983707
3346,Brandenburg,Potsdam-Mittelmark,18-03,10.0,2.3978952727983707
3347,Brandenburg,Prignitz,18-03,0.0,0.0
3348,Baden-Württemberg,Rastatt,18-03,64.0,4.174387269895637
3349,Baden-Württemberg,Ravensburg,18-03,85.0,4.454347296253507
3350,Nordrhein-Westfalen,Recklinghausen,18-03,73.0,4.30406509320417
3351,Bayern,Regen,18-03,23.0,3.1780538303479458
3352,Bayern,Regensburg,18-03,14.0,2.70805020110221
3353,Bayern,Regensburg Städte,18-03,7.0,2.0794415416798357
3354,Baden-Württemberg,Rems-Murr-Kreis,18-03,73.0,4.30406509320417
3355,Nordrhein-Westfalen,Remscheid Städte,18-03,13.0,2.6390573296152584
3356,Schleswig-Holstein,Rendsburg-Eckernförde,18-03,25.0,3.258096538021482
3357,Baden-Württemberg,Reutlingen,18-03,43.0,3.784189633918261
3358,Nordrhein-Westfalen,Rhein-Erft-Kreis,18-03,48.0,3.8918202981106265
3359,Rheinland-Pfalz,Rhein-Hunsrück,18-03,35.0,3.58351893845611
3360,Nordrhein-Westfalen,Rhein-Kreis Neuss,18-03,38.0,3.6635616461296463
3361,Rheinland-Pfalz,Rhein-Lahn,18-03,27.0,3.332204510175204
3362,Baden-Württemberg,Rhein-Neckar-Kreis,18-03,140.0,4.948759890378168
3363,Rheinland-Pfalz,Rhein-Pfalz-Kreis,18-03,7.0,2.0794415416798357
3364,Nordrhein-Westfalen,Rhein-Sieg,18-03,29.0,3.4011973816621555
3365,Hessen,Rheingau-Taunus-Kreis,18-03,21.0,3.091042453358316
3366,Nordrhein-Westfalen,Rheinisch-Bergischer Kreis,18-03,48.0,3.8918202981106265
3367,Bayern,Rhön-Grabfeld,18-03,8.0,2.1972245773362196
3368,Sachsen,Chemnitz Städte,18-03,26.0,3.295836866004329
3369,Bayern,Rosenheim,18-03,65.0,4.189654742026425
3370,Bayern,Rosenheim Städte,18-03,1.0,0.6931471805599453
3371,Niedersachsen,Rotenburg,18-03,20.0,3.044522437723423
3372,Bayern,Roth,18-03,9.0,2.302585092994046
3373,Bayern,Rottal-Inn,18-03,50.0,3.9318256327243257
3374,Baden-Württemberg,Rottweil,18-03,6.0,1.9459101490553132
3375,Thüringen,Saale-Holzland,18-03,12.0,2.5649493574615367
3376,Thüringen,Saale-Orla,18-03,6.0,1.9459101490553132
3377,Thüringen,Saalfeld-Rudolstadt,18-03,11.0,2.4849066497880004
3378,Sachsen-Anhalt,Altmarkkreis Salzwedel,18-03,3.0,1.3862943611198906
3379,Saarland,Saarbrücken Städte,18-03,63.0,4.1588830833596715
3380,Saarland,Saarlouis,18-03,22.0,3.1354942159291497
3381,Saarland,Saarpfalz,18-03,15.0,2.772588722239781
3382,Sachsen,Döbeln,18-03,5.0,1.791759469228055
3383,Niedersachsen,Salzgitter Städte,18-03,6.0,1.9459101490553132
3384,Sachsen-Anhalt,Dessau Städte,18-03,5.0,1.791759469228055
3385,Saarland,Sankt Wendel,18-03,23.0,3.1780538303479458
3386,Niedersachsen,Schaumburg,18-03,17.0,2.8903717578961645
3387,Schleswig-Holstein,Schleswig-Flensburg,18-03,23.0,3.1780538303479458
3388,Thüringen,Schmalkalden-Meiningen,18-03,9.0,2.302585092994046
3389,Sachsen-Anhalt,Halle Städte,18-03,40.0,3.713572066704308
3390,Bayern,Schwabach Städte,18-03,8.0,2.1972245773362196
3391,Baden-Württemberg,Schwäbisch Hall,18-03,60.0,4.110873864173311
3392,Hessen,Schwalm-Eder-Kreis,18-03,54.0,4.007333185232471
3393,Bayern,Schwandorf,18-03,0.0,0.0
3394,Baden-Württemberg,Schwarzwald-Baar-Kreis,18-03,28.0,3.367295829986474
3395,Bayern,Schweinfurt,18-03,4.0,1.6094379124341003
3396,Bayern,Schweinfurt Städte,18-03,0.0,0.0
3397,Schleswig-Holstein,Segeberg,18-03,22.0,3.1354942159291497
3398,Nordrhein-Westfalen,Siegen-Wittgenstein,18-03,15.0,2.772588722239781
3399,Baden-Württemberg,Sigmaringen,18-03,41.0,3.7376696182833684
3400,Nordrhein-Westfalen,Soest,18-03,9.0,2.302585092994046
3401,Nordrhein-Westfalen,Solingen Städte,18-03,9.0,2.302585092994046
3402,Niedersachsen,Soltau-Fallingbostel,18-03,1.0,0.6931471805599453
3403,Thüringen,Sömmerda,18-03,1.0,0.6931471805599453
3404,Thüringen,Sonneberg,18-03,0.0,0.0
3405,Rheinland-Pfalz,Speyer Spires Städte,18-03,8.0,2.1972245773362196
3406,Brandenburg,Spree-Neiße,18-03,24.0,3.2188758248682006
3407,Niedersachsen,Stade,18-03,33.0,3.5263605246161616
3408,Bayern,Starnberg,18-03,69.0,4.248495242049359
3409,Schleswig-Holstein,Steinburg,18-03,7.0,2.0794415416798357
3410,Nordrhein-Westfalen,Steinfurt,18-03,100.0,4.61512051684126
3411,Sachsen-Anhalt,Jerichower Land,18-03,3.0,1.3862943611198906
3412,Sachsen,Dresden Städte,18-03,50.0,3.9318256327243257
3413,Schleswig-Holstein,Stormarn,18-03,12.0,2.5649493574615367
3414,Bayern,Straubing Städte,18-03,19.0,2.995732273553991
3415,Bayern,Straubing-Bogen,18-03,20.0,3.044522437723423
3416,Baden-Württemberg,Stuttgart Städte,18-03,196.0,5.2832037287379885
3417,Rheinland-Pfalz,Südliche Weinstraße,18-03,24.0,3.2188758248682006
3418,Rheinland-Pfalz,Südwestpfalz,18-03,3.0,1.3862943611198906
3419,Thüringen,Suhl Städte,18-03,1.0,0.6931471805599453
3420,Brandenburg,Teltow-Fläming,18-03,6.0,1.9459101490553132
3421,Bayern,Tirschenreuth,18-03,44.0,3.8066624897703196
3422,Sachsen,Freiberg,18-03,5.0,1.791759469228055
3423,Bayern,Traunstein,18-03,33.0,3.5263605246161616
3424,Rheinland-Pfalz,Trier Städte,18-03,10.0,2.3978952727983707
3425,Rheinland-Pfalz,Trier-Saarburg,18-03,15.0,2.772588722239781
3426,Baden-Württemberg,Tübingen,18-03,93.0,4.543294782270004
3427,Baden-Württemberg,Tuttlingen,18-03,10.0,2.3978952727983707
3428,Brandenburg,Uckermark,18-03,4.0,1.6094379124341003
3429,Mecklenburg-Vorpommern,Rostock Städte,18-03,20.0,3.044522437723423
3430,Niedersachsen,Uelzen,18-03,3.0,1.3862943611198906
3431,Baden-Württemberg,Ulm Städte,18-03,21.0,3.091042453358316
3432,Nordrhein-Westfalen,Unna,18-03,15.0,2.772588722239781
3433,Thüringen,Unstrut-Hainich,18-03,5.0,1.791759469228055
3434,Bayern,Unterallgäu,18-03,20.0,3.044522437723423
3435,Niedersachsen,Vechta,18-03,22.0,3.1354942159291497
3436,Niedersachsen,Verden,18-03,22.0,3.1354942159291497
3437,Nordrhein-Westfalen,Viersen,18-03,39.0,3.6888794541139363
3438,Hessen,Vogelsbergkreis,18-03,15.0,2.772588722239781
3439,Sachsen,Leipzig Städte,18-03,93.0,4.543294782270004
3440,Rheinland-Pfalz,Vulkaneifel,18-03,17.0,2.8903717578961645
3441,Hessen,Waldeck-Frankenberg,18-03,26.0,3.295836866004329
3442,Baden-Württemberg,Waldshut,18-03,5.0,1.791759469228055
3443,Nordrhein-Westfalen,Warendorf,18-03,83.0,4.430816798843313
3444,Thüringen,Wartburgkreis,18-03,3.0,1.3862943611198906
3445,Bayern,Weiden Städte,18-03,7.0,2.0794415416798357
3446,Bayern,Weilheim-Schongau,18-03,47.0,3.871201010907891
3447,Thüringen,Weimar Städte,18-03,7.0,2.0794415416798357
3448,Thüringen,Weimarer Land,18-03,5.0,1.791759469228055
3449,Bayern,Weißenburg-Gunzenhausen,18-03,8.0,2.1972245773362196
3450,Sachsen-Anhalt,Magdeburg Städte,18-03,29.0,3.4011973816621555
3451,Sachsen,Mittweida,18-03,5.0,1.791759469228055
3452,Sachsen-Anhalt,Stendal,18-03,7.0,2.0794415416798357
3453,Hessen,Werra-Meißner-Kreis,18-03,2.0,1.0986122886681098
3454,Nordrhein-Westfalen,Wesel,18-03,66.0,4.204692619390966
3455,Niedersachsen,Wesermarsch,18-03,4.0,1.6094379124341003
3456,Rheinland-Pfalz,Westerwaldkreis,18-03,48.0,3.8918202981106265
3457,Hessen,Wetteraukreis,18-03,26.0,3.295836866004329
3458,Hessen,Wiesbaden Städte,18-03,31.0,3.4657359027997265
3459,Niedersachsen,Wilhelmshaven Städte,18-03,5.0,1.791759469228055
3460,Mecklenburg-Vorpommern,Schwerin Städte,18-03,22.0,3.1354942159291497
3461,Sachsen-Anhalt,Wittenberg,18-03,8.0,2.1972245773362196
3462,Niedersachsen,Wittmund,18-03,3.0,1.3862943611198906
3463,Niedersachsen,Wolfenbüttel,18-03,3.0,1.3862943611198906
3464,Niedersachsen,Wolfsburg Städte,18-03,8.0,2.1972245773362196
3465,Rheinland-Pfalz,Worms Städte,18-03,1.0,0.6931471805599453
3466,Bayern,Wunsiedel,18-03,15.0,2.772588722239781
3467,Nordrhein-Westfalen,Wuppertal Städte,18-03,38.0,3.6635616461296463
3468,Bayern,Würzburg,18-03,9.0,2.302585092994046
3469,Bayern,Würzburg Städte,18-03,14.0,2.70805020110221
3470,Baden-Württemberg,Zollernalbkreis,18-03,60.0,4.110873864173311
3471,Rheinland-Pfalz,Zweibrücken Städte,18-03,0.0,0.0
3472,Nordrhein-Westfalen,Aachen,20-03,71.0,4.276666119016055
3473,Nordrhein-Westfalen,Aachen Städte,20-03,107.0,4.68213122712422
3474,Sachsen-Anhalt,Anhalt-Zerbst,20-03,3.0,1.3862943611198906
3475,Sachsen-Anhalt,Bitterfeld,20-03,3.0,1.3862943611198906
3476,Sachsen-Anhalt,Köthen,20-03,3.0,1.3862943611198906
3477,Sachsen,Bautzen,20-03,25.0,3.258096538021482
3478,Sachsen,Kamenz,20-03,25.0,3.258096538021482
3479,Sachsen-Anhalt,Bördekreis,20-03,12.0,2.5649493574615367
3480,Sachsen-Anhalt,Ohrekreis,20-03,12.0,2.5649493574615367
3481,Niedersachsen,Cuxhaven,20-03,38.0,3.6635616461296463
3482,Niedersachsen,Oldenburg,20-03,20.0,3.044522437723423
3483,Sachsen,Annaberg,20-03,7.0,2.0794415416798357
3484,Sachsen,Aue-Schwarzenberg,20-03,7.0,2.0794415416798357
3485,Sachsen,Mittlerer Erzgebirgskreis,20-03,7.0,2.0794415416798357
3486,Sachsen,Stollberg,20-03,7.0,2.0794415416798357
